#ID	color
0	#000000
1	#a6ac75
2	#6eb1a1
3	#ffffff
4	#985322
5	#6397c5
6	#e7d9c7
7	#ffffff
8	#ceccbb
9	#b9cee5
10	#959fbd
11	#e7c46e
12	#93582e
13	#493b26
14	#d8ce88
15	#b29da3
16	#ab75ab
17	#584d45
18	#fff2d6
19	#9c948f
20	#ffffff
21	#dacdc5
22	#c1af95
23	#ffffff
24	#9c948f
25	#ffffff
26	#b08053
27	#ffffff
28	#ffffff
29	#ffffff
30	#ffffff
31	#88beff
32	#94f494
33	#d2a983
34	#664d3b
35	#bf6060
36	#ffffff
37	#865f3b
38	#dadcc5
39	#ffffff
40	#b08053
41	#7575ab
42	#ebe4e7
43	#7575ab
44	#c8ba56
45	#d8d1cd
46	#dadcc5
47	#c8ba56
48	#d8cdd0
49	#99c8bc
50	#865f3b
51	#a08f84
52	#b08053
53	#584d45
54	#d8cdd0
55	#865f3b
56	#ecebea
57	#ebe9e4
58	#6d625b
59	#4d3b22
60	#a0691c
61	#f1cdb6
62	#9d9dc3
63	#b2a69d
64	#865f3b
65	#1c6682
66	#1c6682
67	#ffdd8d
68	#ff0000
69	#ff6900
70	#000000
71	#ff0000
72	#0000ff
73	#ffff00
74	#01ff00
75	#800080
76	#ff8000
77	#01ffff
78	#ffffff
79	#000000
80	#ff1600
81	#dda616
82	#e86e00
83	#ff0000
84	#260d00
85	#000000
86	#ecebea
87	#9c948f
88	#584d45
89	#c5a080
90	#b08053
91	#865f3b
92	#e4bcbc
93	#d18f8f
94	#bf6060
95	#e8e2b9
96	#d8ce88
97	#e7c46e
98	#dadcc5
99	#bfc39d
100	#a6ac75
101	#ccdcc5
102	#a8c39d
103	#83ab75
104	#c5c5dc
105	#9d9dc3
106	#7575ab
107	#dcc5dc
108	#c39dc3
109	#ab75ab
110	#ecebea
111	#9c948f
112	#6d625b
113	#c5a080
114	#b08053
115	#865f3b
116	#e4bcbc
117	#d18f8f
118	#bf6060
119	#e8e2b9
120	#d8ce88
121	#c8ba56
122	#dadcc5
123	#bfc39d
124	#a6ac75
125	#c2ded8
126	#99c8bc
127	#6eb1a1
128	#c5c5dc
129	#9d9dc3
130	#7575ab
131	#dcc5dc
132	#c39dc3
133	#ab75ab
