#ID	ImageID	Name
0	0	---
1	1	Male Historic Hat
2	2	Female Historic Hairband
3	3	Malroth
4	4	Bonanzo
5	5	Brownbeard
6	6	Molly
7	7	Den
8	8	Babs/BunnyEars&Ponytail
9	9	Babs/BunnyEars&PermedCurls
10	10	Babs/BunnyEars&Wig
12	12	King
13	13	Anessa
14	14	Clayton
15	15	Perry
16	16	Serge/Finn
17	17	Shortspikes combed back often used by Bartenders
18	18	Lulu
19	19	Saffron/Haydin
20	20	Zara
21	21	Rosie
22	22	Male Merchant
23	23	Female Merchant
24	24	Male Blue Soldier
25	25	Female Blue Soldier
26	26	Male Farmer
27	27	Female Farmer
28	28	Ordelia/Original
32	0	(Bald)
33	33	Female Elder
34	34	Male Child
35	35	Lillian/Female Child
36	36	Haydin/Bard
37	0	(Bald)
38	38	Esther/Nun
39	39	Singer
40	40	Pumpkin Mask
41	41	Male Builder
42	42	Female Builder
43	43	Jeremiah(including beard)
44	44	Block Head
45	45	Babs/Original
50	50	Male Builder without bangs
51	51	Male Builder under Historic Hat
52	52	Female Builder under hats
53	53	Male  Builder under hats
54	54	Female Builder without ponytails
55	26	Male Farmer
56	27	Female Farmer
60	60	Male Red Soldier
61	61	Male Green Soldier
62	62	Female Red Soldier
63	63	Female Green Soldier
64	64	Lulu with Bunny Ears
65	65	Saffron/Haydin with Bunny Ears
66	66	Zarawith Bunny Ears
67	67	Ordelia/Bunny Ears
68	24	Male Blue Soldier
69	60	Male Red Soldier
70	61	Male Green Soldier
71	19	Saffron/Haydin
72	15	White ClassicCurtianswithoutbangs
73	18	White LuluwithBunnyEarswithoutbangs
74	19	White Saffron/HaydenwithBunnyEarswithoutbangs
75	19	White Saffron/Haydenwithoutbangs
76	18	White Luluwithoutbangs
77	19	White Saffron/Haydenwithoutbangs
78	21	White Rosiewithoutbangs
79	21	White Rosiewithhairbandwithoutbangs
80	80	Thug'sMug
81	81	MaleStrawHat
82	81	FemaleStrawHat
83	16	MussedMopwithoutbangs
84	84	HipsterPonytail
85	85	PrettyPonytail
86	86	Gillian
87	81	WhiteMaleStrawHat
88	81	WhiteFemaleStrawHat
89	85	WhitePrettyPonytailwithoutbangs
90	85	PrettyPonytail
91	85	WhitePrettyPonytailwithoutbangs
92	84	HipsterPonytail
93	93	DandoDo
94	94	WavyLocks
95	94	WavyLocks
96	93	DandoDo
97	94	WhiteWavyLockswithoutbangs
98	94	WhiteWavyLockswithoutbangs
99	14	CurlyQuiff
100	15	ClassicCurtains
101	15	WhiteClassicCurtainswithoutbangs
102	16	MussedMop
103	17	BackcombedCut
104	18	LopsidedPonytail
105	18	WhiteLopsidesPonytailwithoutbangs
106	19	FashionableFlick
107	19	WhiteFashionableFlickwithoutbangs
108	20	BonnyBobCut
109	21	ImpressiveTresses
110	21	WhiteImpressiveTresseswithoutbangs
